Name,Alias,Nationality,Designation,Sanction Type,Source
AL-NU'AYMI,"al Naimeh, al Neaimi, Alnaimi, al-Naimi, al-Na'imi, al-Nu'aimi, al-Nu'aymi, al-Nu'aymi, al-Nua'ymi, al-Nu'imi",Qatar,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
ABDALLAH AZZAM BRIGADES (AAB),"AAB, Abdullah Azzam Brigades, Yusuf al-'Uyayri Battalions of the Abdallah Azzam Brigades, Ziyad al-Jarrah Battalions of the Abdallah Azzam Brigades","Lebanon, Syria",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
ABU SAYYAF GROUP,Al Harakat Al Islamiyya,Philippines,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AFGHAN SUPPORT COMMITTEE (ASC),"Ahya ul Turas, Jamiat Ayat-ur-Rhas al Islamiac, Jamiat Ihya ul Turath al Islamia, Lajnat ul Masa Eidatul Afghania","Afghanistan, Pakistan",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL FURQAN,"Association for Citizens Rights and Resistance to Lies, Association for Education Cultural and to Create Society -Sirat, Association for Education Culture and Building Society-Sirat, Association of Citizens for the Support of Truth and Supression of Lies, Citizens' Association for Support and Prevention of lies - Furqan, Dzemijetul Furkan, Dzem'ijjetul Furqan, Dzemilijati Furkan, In Siratel, Istikamet, Sirat",Bosnia and Herzegovina,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL MOUAKAOUNE BIDDAM,"Ceux Qui Signent avec le Sang, Les Signataires par le Sang, Those Who Sign in Blood",Mali,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL MOULATHAMOUN,"Les Enturbannes, The Veiled","Algeria, Mali, Niger",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL MOURABITOUN,"Les Sentinelles, The Sentinels",Mali,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL RASHID TRUST,"Aid Organization of the Ulema, Pakistan, Al Ameen Trust, Al Amin Trust, Al Amin Welfare Trust, Al Madina Trust, Al Rasheed Trust, Al-Ameen Trust, Al-Madina Trust, Al-Rasheed Trust, Al-Rashid Trust",Pakistan,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-AKHTAR TRUST INTERNATIONAL,"Akhtarabad Medical Camp, Al Akhtar Trust, Al-Akhtar Medical Centre, Azmat Pakistan Trust, Azmat-e-Pakistan Trust, Pakistan Relief Foundation, Pakistani Relief Foundation",Pakistan,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-HARAMAIN & AL MASJED AL-AQSA CHARITY FOUNDATION,"Al Haramain Al Masjed Al Aqsa, Al Haramayn Al Masjid Al Aqsa, Al Harammein Al Masjed Al-Aqsa Charity Foundation, Al-Haramayn and Al Masjid Al Aqsa Charitable Foundation",Bosnia and Herzegovina,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-HARAMAIN FOUNDATION (PAKISTAN),,Pakistan,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-HARAMAIN FOUNDATION (UNION OF THE COMOROS),,Comoros,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-HARAMAIN (AFGHANISTAN BRANCH),,Afghanistan,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-HARAMAIN (ALBANIA BRANCH),,Albania,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-HARAMAIN (BANGLADESH),,Bangladesh,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-HARAMAIN (ETHIOPIA BRANCH),,Ethiopia,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-HARAMAIN (THE NETHERLANDS BRANCH),Stichting Al Haramain Humanitarian Aid,Netherlands,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-HARAMAYN FOUNDATION (KENYA),,Kenya,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-HARAMAYN FOUNDATION (TANZANIA),,Tanzania,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-KAWTHAR MONEY EXCHANGE,"Al Kawthar Co., Al Kawthar Company, Al-Kawthar Hawala",Iraq,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-NUSRAH FRONT FOR THE PEOPLE OF THE LEVANT,"Al-Nusra Front, Al-Nusrah Front, Ansar al-Mujahideen Network - sub-unit name, Assembly for the Liberation of Syria, Assembly for the Liberation of the Levant, Conquest of the Levant Front, Fatah al-Sham Front, Fateh al-Sham Front, Front for the Conquest of Syria, Front for the Liberation of the Levant, Hay'at Tahrir al-Sham, Hayat Tahrir al-Sham, Hay'at Tahrir al-Sham HTS, Hay'et Tahrir al-Sham, Jabhat al-Nusrah, Jabhat Fatah al-Sham, Jabhat Fateh Al-Sham, Jabhat Fath al Sham, Jabhat Fath al-Sham, Jabhet al-Nusra, Levantine Mujahideen on the Battlefields of Jihad - sub-unit name, Liberation of al-Sham Commission, Liberation of the Levant Organisation Tahrir al-Sham, Tahrir al-Sham Hay'at, The Front for the Liberation of al Sham, the Levant, the Victory Front","Iraq, Syria",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
Ansar Al Charia Derna,"Ansar al Charia, Ansar al Sharia, Ansar al-Charia Derna, Ansar al-Sharia Derna","Libya, Tunisia",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
ANSAR AL-SHARI'A IN TUNISIA,"AAS-T, Al-Qayrawan Media Foundation, Ansar al-Sharia, Ansar al-Sharia in Tunisia, Ansar al-Shari'ah in Tunisia, Supporters of Islamic Law",Tunisia,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
ANSAR EDDINE,,Mali,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
ANSARUL MUSLIMINA FI BILADIS SUDAN,"Ansaru, Jama'atu Ansaril Muslimina fi Biladis Sudan (JAMBS), Jama'atu Ansarul Muslimina fi Biladis-Sudan (JAMBS), Jamma'atu Ansarul Muslimina fi Biladis-Sudan(JAMBS), Vanguard for the Protection of Muslims in Black Africa, Vanguards for the Protection of Muslims in Black Africa",Nigeria,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
ARMED ISLAMIC GROUP,"Al Jamm'ah Al-Islamiah Al- Musallah, GIA, Groupe Islamique Arme",Algeria,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
ASBAT AL-ANSAR,,Lebanon,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
