Name,Alias,Nationality,Designation,Sanction Type,Source
Abdul Ghani Baradar,,Afghanistan,Deputy Minister of Defence under the Taliban regime,1988 Taliban,Australia
Abdul Rauf Khadem,,Afghanistan,Commander of Central Corps under the Taliban regime,1988 Taliban,Australia
Mullah Abdul Rauf Aliza,,Afghanistan,Commander of Central Corps under the Taliban regime,1988 Taliban,Australia
Amir Khan Motaqi,,Afghanistan,,1988 Taliban,Australia
Amir Khan Muttaqi,,Afghanistan,,1988 Taliban,Australia
Abdul Salam Hanafi Ali Mardan Qul,,Afghanistan,Deputy Minister of Education under the Taliban Regime,1988 Taliban,Australia
Abdussalam Hanifi,,Afghanistan,Deputy Minister of Education under the Taliban Regime,1988 Taliban,Australia
Hanafi Saheb,,Afghanistan,Deputy Minister of Education under the Taliban Regime,1988 Taliban,Australia
Said Ahmed Shahidkhel,,Afghan,Deputy Minister of Education under the Taliban regime,1988 Taliban,Australia
Arefullah Aref GHAZI MOHAMMAD,,Afghan,Deputy Minister of Finance under the Taliban regime,1988 Taliban,Australia
Mohammad Ahmadi,,Afghan,,1988 Taliban,Australia
Abdul Rahman Zahed,,Afghanistan,Deputy Minister of Foreign Affairs under the Taliban regime,1988 Taliban,Australia
Abdul Rehman Zahid,,Afghanistan,Deputy Minister of Foreign Affairs under the Taliban regime,1988 Taliban,Australia
Abdul Jalil Haqqani Wali Mohammad,,Afghanistan,Deputy Minister of Foreign Affairs under the Taliban regime,1988 Taliban,Australia
Abdul Jalil Akhund,,Afghanistan,Deputy Minister of Foreign Affairs under the Taliban regime,1988 Taliban,Australia
Akhter Mohmad son of Noor Mohmad,,Afghanistan,Deputy Minister of Foreign Affairs under the Taliban regime,1988 Taliban,Australia
Abdul Jalil Haqqani previously listed as,,Afghanistan,Deputy Minister of Foreign Affairs under the Taliban regime,1988 Taliban,Australia
Nazar Jan,,Afghanistan,Deputy Minister of Foreign Affairs under the Taliban regime,1988 Taliban,Australia
Haji Gulab Gul,,Afghanistan,Deputy Minister of Foreign Affairs under the Taliban regime,1988 Taliban,Australia
Faiz,,Afghanistan,Head of the Information Department Ministry of Foreign Affairs under the Taliban regime,1988 Taliban,Australia
Abdul Baqi Basir Awal Shah,,Afghanistan,,1988 Taliban,Australia
Abdul Baqi previously listed as,,Afghanistan,,1988 Taliban,Australia
Mohammad Jawad Waziri,,Afghanistan,UN Department Ministry of Foreign Affairs under the Taliban regime,1988 Taliban,Australia
Jalaluddin Haqqani,,Afghanistan,Unknown,1988 Taliban,Australia
Jalaluddin Haqani,,Afghanistan,Unknown,1988 Taliban,Australia
Jallalouddin Haqqani,,Afghanistan,Unknown,1988 Taliban,Australia
Jallalouddine Haqani,,Afghanistan,Unknown,1988 Taliban,Australia
Mohammad Ibrahim Omari,,Afghanistan,Deputy Minister of Frontier Affairs under the Taliban regime,1988 Taliban,Australia
Ibrahim Haqqani,,Afghanistan,Deputy Minister of Frontier Affairs under the Taliban regime,1988 Taliban,Australia
Din Mohammad Hanif,,Afghan,,1988 Taliban,Australia
Qari Din Mohammad,,Afghan,,1988 Taliban,Australia
Iadena Mohammad,,Afghan,,1988 Taliban,Australia
Hamdullah Nomani,,Afghanistan,,1988 Taliban,Australia
Qudratullah Jamal,,Afghanistan,Minister of Information under the Taliban regime,1988 Taliban,Australia
Haji Sahib,,Afghanistan,Minister of Information under the Taliban regime,1988 Taliban,Australia
Abdul Rahman Ahmad Hottak,,Afghanistan,,1988 Taliban,Australia
Hottak Sahib,,Afghanistan,,1988 Taliban,Australia
Abdulhai Motmaen,,Afghan,,1988 Taliban,Australia
Abdul Haq,,Afghan,,1988 Taliban,Australia
Mohammad Yaqoub,,Afghanistan,Head of Bakhtar Information Agency BIA under the Taliban regime,1988 Taliban,Australia
Abdul Razaq Akhund Lala Akhund,,Afghan,,1988 Taliban,Australia
SAYED MOHAMMAD AZIM AGHA,,Afghan,Director of the Passport and Visa Department in the Ministry of Interior under the Taliban regime,1988 Taliban,Australia
Sayed Mohammad Azim Agha,,Afghan,Director of the Passport and Visa Department in the Ministry of Interior under the Taliban regime,1988 Taliban,Australia
Agha Saheb,,Afghan,Director of the Passport and Visa Department in the Ministry of Interior under the Taliban regime,1988 Taliban,Australia
Nooruddin Turabi Muhammad Qasim,,Afghanistan,Minister of Justice under the Taliban regime,1988 Taliban,Australia
Noor ud Din Turabi,,Afghanistan,Minister of Justice under the Taliban regime,1988 Taliban,Australia
Haji Karim,,Afghanistan,Minister of Justice under the Taliban regime,1988 Taliban,Australia
Mohammad Essa Akhund,,Afghanistan,Minister of Water Sanitation and Electricity under the Taliban regime,1988 Taliban,Australia
Mohammad Azam Elmi,,Afghanistan,Deputy Minister of Mines and Industries under the Taliban regime,1988 Taliban,Australia
Muhammad Azami,,Afghanistan,Deputy Minister of Mines and Industries under the Taliban regime,1988 Taliban,Australia
EZATULLAH HAQQANI KHAN SAYYID,,Afghanistan,Deputy Minister of Planning under the Taliban regime,1988 Taliban,Australia
EZATULLAH HAQQANI,,Afghanistan,Deputy Minister of Planning under the Taliban regime,1988 Taliban,Australia
Mohammad Abbas Akhund,,Afghan,,1988 Taliban,Australia
Sher Mohammad Abbas Stanekzai Padshah Khan,,Afghanistan,,1988 Taliban,Australia
Mohammadullah Mati,,Afghanistan,Minister of Public Works under the Taliban regime,1988 Taliban,Australia
Mawlawi Nanai,,Afghanistan,Minister of Public Works under the Taliban regime,1988 Taliban,Australia
Rustum Hanafi Habibullah,,Afghanistan,Deputy Minister of Public Works under the Taliban regime,1988 Taliban,Australia
Rostam Nuristani,,Afghanistan,Deputy Minister of Public Works under the Taliban regime,1988 Taliban,Australia
Hanafi Sahib,,Afghanistan,Deputy Minister of Public Works under the Taliban regime,1988 Taliban,Australia
ATIQULLAH WALI MOHAMMAD,,Afghan,,1988 Taliban,Australia
Atiqullah,,Afghan,,1988 Taliban,Australia
Najibullah Haqqani Hidayatullah,,Afghanistan,Deputy Minister for Finance under the Taliban regime,1988 Taliban,Australia
Najibullah Haqani,,Afghanistan,Deputy Minister for Finance under the Taliban regime,1988 Taliban,Australia
Sayyed Ghiassouddine Agha,,Afghanistan,Minister of Haj and Religious Affairs under the Taliban regime,1988 Taliban,Australia
Sayed Ghias,,Afghanistan,Minister of Haj and Religious Affairs under the Taliban regime,1988 Taliban,Australia
Sayed Ghiasuddin Sayed Ghousuddin,,Afghanistan,Minister of Haj and Religious Affairs under the Taliban regime,1988 Taliban,Australia
Sayyed Ghayasudin,,Afghanistan,Minister of Haj and Religious Affairs under the Taliban regime,1988 Taliban,Australia
Mohammad Moslim Haqqani Muhammadi Gul,,Afghanistan,,1988 Taliban,Australia
Moslim Haqqani,,Afghanistan,,1988 Taliban,Australia
Abdul Raqib Takhari,,Afghan,Minister of Repatriation of the Taliban regime,1988 Taliban,Australia
Mohammad Wali Mohammad Ewaz,,Afghan,Minister of Ministry of Preventing Vice and Propagating Virtue under the Taliban regime,1988 Taliban,Australia
Mohammad Wali previously listed as,,Afghan,Minister of Ministry of Preventing Vice and Propagating Virtue under the Taliban regime,1988 Taliban,Australia
Mohammad Salim Haqqani,,Afghanistan,Deputy Minister of Preventing Vice and Propagating Virtue under the Taliban regime,1988 Taliban,Australia
Sayed Esmatullah Asem Abdul Quddus,,Afghanistan,,1988 Taliban,Australia
Esmatullah Asem,,Afghanistan,,1988 Taliban,Australia
Asmatullah Asem,,Afghanistan,,1988 Taliban,Australia
Sayed Esmatullah Asem previously listed as,,Afghanistan,,1988 Taliban,Australia
AbdulHaq Wassiq,,Afghan,Deputy Minister of Security Intelligence under the Taliban regime,1988 Taliban,Australia
AbdulHaq Wasseq,,Afghan,Deputy Minister of Security Intelligence under the Taliban regime,1988 Taliban,Australia
Abdul Haq Wasiq,,Afghan,Deputy Minister of Security Intelligence under the Taliban regime,1988 Taliban,Australia
Ehsanullah Sarfida Hesamuddin Akhundzada,,Afghan,Deputy Minister of Security Intelligence under the Taliban regime,1988 Taliban,Australia
Ehsanullah Sarfadi,,Afghan,Deputy Minister of Security Intelligence under the Taliban regime,1988 Taliban,Australia
Ehsanullah Sarfida,,Afghan,Deputy Minister of Security Intelligence under the Taliban regime,1988 Taliban,Australia
Habibullah Reshad,,Afghanistan,Head of Investigation Department Ministry of Security Intelligence under the Taliban regime,1988 Taliban,Australia
Ahmed Jan Akhundzada Wazir,,Afghanistan,Minister of Water and Electricity under the Taliban regime,1988 Taliban,Australia
