Name,Alias,Nationality,Designation,Sanction Type,Source
MOSCOW STATE TECHNICAL UNIVERSITY NAMED AFTER NE BAUMAN,FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF HIGHER EDUCATION MOSCOW STATE TECHNICAL UNIVERSITY NAMED AFTER NE BAUMAN NATIONAL RESEARCH UNIVERSITY,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY SPUTNIK ELECTRONICS,LLC SPEL,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
Ali Morshed SHIRAZI,SHIRAZI,Iran,Individual,"IFSR, IRGC, SDGT",USOFAC_SDN
LIMITED LIABILITY COMPANY ALFAKOMPONENT,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
Mostafa Mohammad KHANI,KHANI,Iran,Individual,"SDGT, IFSR, IRGC",USOFAC_SDN
Ivan Vladimirovich TAVRIN,None,Russia,Individual,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY TECHNICAL CENTER WINDEQ,TECHNICAL CENTER VINDEK LLC,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
Gleb Romanovich TROTSENKO,None,Russia,Individual,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY FOTOPARK,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
A LEVEL AEROSYSTEMS CST LLC,OOO TSST,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY LANMAX,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY BIK INFORM,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY INVESTMENT DECISIONS 1,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY SPETSTECHNOTRADE,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY NANOCHIP,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY ZALA AERO,ZALA AERO GROUP,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
Ma'ad Ibrahim Muhammad Rashid AL-ATILI,IBRAHIM MUHAMMAD RASHID,Palestinian,Individual,SDGT,USOFAC_SDN
LIMITED LIABILITY COMPANY N CHIP MSK,LLC NANOCHIP MSK,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
Aleksandr Vyacheslavovich ZAKHAROV,ZAKHAROV,Russia,Individual,RUSSIA-EO14024,USOFAC_SDN
PUBLIC LEGAL COMPANY MILITARY CONSTRUCTION COMPANY,MILITARY CONSTRUCTION COMPLEX OF THE MINISTRY OF DEFENSE,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY INVESTMENT DECISIONS 2,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY SPUTNIK SPETSPOSTAVKA,LLC SPUTNIK SP,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
DREAM LITE TRADING LLC,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY INVESTMENT DECISIONS 3,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LLC LASER COMPONENTS,LAZERNYE KOMPONENTY OOO,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY ENTEP,AVIATOR RC,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY INVESTMENT DECISIONS 5,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY LEGION KOMPLEKT,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
Nikita Aleksandrovich ZAKHAROV,None,Russia,Individual,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY INVESTMENT DECISIONS 6,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY ORELMETALLPOYLMER,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY SCIENTIFIC PRODUCTION COMPANY ELECTRONIC OPTICAL AND MECHANICAL SYSTEMS,LLC NPC EOMS,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY INVESTMENT DECISIONS 7,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
BESTOP GLOBLE MFG LIMITED,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY AEROSCAN,OOO AEROSKAN,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY DZHI EL EL RUS,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY EMERGENCY DIGITAL SOLUTIONS,LLC EDS,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY ADVANTA ELECTRO,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
BALTELEKTRON LIMITED LIABILITY COMPANY,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY RTK,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY NEW DECISIONS 1,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY DORIS,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY NEW MEDIA HOLDING,OOO NOVYI MEDIA KHOLDING,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
